#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-21T02:42:53 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-21T02:42:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	A	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	PA	(F6.1)	[-160/90]? Position angle of major axis	[ucd=pos.posAng]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	? Mean error on [3.6]	[ucd=stat.error]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	? Growth-curve fitting error in [4.5]	[ucd=stat.error]
#Column	c31	(F6.3)	[1/]? r(75%)/r(25%) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	c42	(F6.3)	? 5*log10(r(80%)/r(20%)) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	M4.5	(F7.3)	? Absolute magnitude at 4.5um	[ucd=phys.magAbs;em.IR.4-8um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dmean	(F6.3)	? Standard deviation of Dmean	[ucd=stat.error]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	e_TT	(F4.1)	? Error on TT	[ucd=stat.error]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Mean error on Vr	[ucd=stat.error]
#Column	S4G	(A3)	See the NASA/IPAC details for this galaxy	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	A	Name	RAJ2000	DEJ2000	amaj	PA	ell	[3.6]	e_[3.6]	[4.5]	e_[4.5]	c31	c42	M3.6	M4.5	logM*	Dmean	e_Dmean	TT	e_TT	Vr	e_Vr	S4G	Simbad	NED	LEDA
      18	 	NGC0059   	003.85485	-21.44434	 94.6	 -60.8	 0.471	12.749	 0.001	13.179	 0.001	 3.463	 3.387	-15.677	-15.248	 8.398	  4.845	 0.643	-2.9	 0.7	  364.2	 6.5	S4G	Simbad	NED	LEDA
      19	 	NGC0063   	004.43955	+11.45034	 55.6	 -78.0	 0.344	11.838	 0.001	12.254	 0.001	 3.990	 3.818	-19.532	-19.116	 9.931	 18.800	 0.173	-3.4	 3.3	 1158.7	 8.4	S4G	Simbad	NED	LEDA
      20	 	NGC0100   	006.01111	+16.48603	123.2	  54.4	 0.830	13.002	 0.002	13.351	 0.005	 2.853	 2.870	-18.071	-17.722	 9.297	 16.392	 3.106	 5.9	 0.5	  841.9	 3.1	S4G	Simbad	NED	LEDA
      21	 	NGC0115   	006.69270	-33.67710	 64.2	 -58.3	 0.598	13.752	 0.001	14.078	 0.008	 2.960	 2.930	-18.683	-18.356	 9.525	 30.686	 5.348	 3.9	 0.8	 1828.5	 3.7	S4G	Simbad	NED	LEDA
      22	 	NGC0131   	007.41048	-33.25990	 52.9	  62.9	 0.505	13.036	 0.002	13.449	 0.002	 2.743	 2.750	-18.168	-17.754	 9.383	       	      	 3.0	 0.3	 1410.0	24.7	S4G	Simbad	NED	LEDA
      23	 	NGC0134   	007.59138	-33.24391	250.7	  48.7	 0.695	 9.390	 0.001	 9.780	 0.001	 2.830	 2.872	-21.991	-21.601	10.895	 18.885	 2.228	 4.0	 0.1	 1583.6	 3.7	S4G	Simbad	NED	LEDA
      24	 	NGC0148   	008.56456	-31.78600	 82.2	 -90.0	 0.545	11.744	 0.001	12.246	 0.001	 5.424	 4.347	-19.580	-19.078	10.013	 18.400	      	-2.0	 0.5	 1516.0	 5.5	S4G	Simbad	NED	LEDA
      25	 	NGC0150   	008.56445	-27.80352	129.2	 -71.3	 0.490	10.918	 0.001	11.308	 0.001	 3.111	 3.409	-20.697	-20.307	10.378	 21.038	 3.273	 3.4	 0.9	 1586.0	 4.6	S4G	Simbad	NED	LEDA
      26	 	NGC0157   	008.69491	-08.39634	150.2	  44.9	 0.347	10.066	 0.001	10.454	 0.001	 2.342	 2.413	-21.384	-20.996	10.651	 19.500	 5.448	 4.0	 0.2	 1650.8	 4.0	S4G	Simbad	NED	LEDA
      27	 	NGC0178   	009.78486	-14.17263	 67.4	   0.9	 0.501	13.193	 0.001	13.654	 0.002	 3.242	 3.157	-18.131	-17.670	 9.404	 18.400	      	 8.7	 1.4	 1452.5	 6.2	S4G	Simbad	NED	LEDA
      28	 	NGC0210   	010.14572	-13.87277	154.7	 -19.6	 0.324	10.792	 0.001	11.198	 0.001	10.494	 5.992	-20.817	-20.412	10.437	 20.983	 1.281	 3.1	 0.8	 1637.3	 3.8	S4G	Simbad	NED	LEDA
      29	 	NGC0216   	010.36312	-21.04490	 69.5	  29.6	 0.612	13.059	 0.004	13.444	 0.004	 2.906	 2.981	-18.346	-17.961	 9.433	 19.100	      	-1.9	 0.7	 1547.5	10.1	S4G	Simbad	NED	LEDA
      30	 	NGC2967   	145.51380	+00.33644	 84.8	  -2.9	 0.014	11.322	 0.001	11.734	 0.001	 2.818	 2.831	-21.128	-20.716	10.566	 30.900	      	 5.2	 0.6	 1892.5	 4.5	S4G	Simbad	NED	LEDA
      31	 	NGC2968   	145.80008	+31.92874	126.3	  60.5	 0.289	10.930	 0.005	11.444	 0.014	 5.964	 4.865	-19.784	-19.269	10.104	 13.890	 9.055	 1.2	 3.8	 1525.5	90.7	S4G	Simbad	NED	LEDA
      32	 	NGC2974   	145.63871	-03.69919	156.8	  48.1	 0.274	10.520	 0.001	11.037	 0.001	 6.611	 5.019	-21.447	-20.930	10.771	 24.730	 6.011	-4.3	 1.2	 1888.6	 9.8	S4G	Simbad	NED	LEDA
      33	 	NGC2976   	146.81366	+67.91671	215.7	 -35.9	 0.393	 9.907	 0.001	10.326	 0.001	 2.206	 2.238	-17.881	-17.462	 9.273	  3.611	 0.707	 5.2	 0.6	    5.3	 4.8	S4G	Simbad	NED	LEDA
      34	 	NGC2978   	145.81995	-09.74573	 42.6	  76.4	 0.232	12.819	 0.002	13.202	 0.001	 3.076	 3.044	-21.838	-21.455	10.828	 85.375	29.523	 4.0	 0.6	 1802.0	11.8	S4G	Simbad	NED	LEDA
      35	 	NGC2985   	147.59242	+72.27897	228.7	  -8.5	 0.199	 9.916	 0.001	10.386	 0.001	 5.733	 4.725	-21.746	-21.276	10.856	 21.500	 1.273	 2.4	 0.7	 1321.2	 5.7	S4G	Simbad	NED	LEDA
      36	A	NGC2986   	146.06677	-21.27801	166.3	  32.8	 0.114	10.242	 0.001	10.772	 0.001	 6.829	 5.162	-22.541	-22.010	11.219	 36.022	 3.974	-4.7	 0.6	       	    	S4G	Simbad	NED	LEDA
      37	 	NGC3003   	147.14876	+33.42163	150.9	  78.6	 0.711	11.871	 0.001	12.268	 0.001	 3.391	 3.365	-19.907	-19.510	10.066	 22.677	 3.689	 4.3	 0.8	 1480.7	 3.1	S4G	Simbad	NED	LEDA
      38	 	NGC3018   	147.42269	+00.62141	 43.1	  16.0	 0.420	13.687	 0.001	14.085	 0.002	 3.194	 3.140	-18.374	-17.976	 9.455	       	      	 3.1	 0.7	 1863.5	 5.8	S4G	Simbad	NED	LEDA
      39	 	NGC3020   	147.52759	+12.81372	 94.4	 -78.3	 0.514	12.922	 0.001	13.289	 0.021	 3.608	 3.478	-19.349	-18.981	 9.821	 28.450	 9.542	 5.9	 0.4	 1441.3	 2.8	S4G	Simbad	NED	LEDA
      40	 	NGC3021   	147.73816	+33.55360	 57.5	 -76.1	 0.345	11.665	 0.001	12.088	 0.001	 2.802	 2.840	-20.515	-20.092	10.329	 27.288	 3.843	 4.0	 0.2	 1539.8	 3.1	S4G	Simbad	NED	LEDA
      41	 	NGC3023   	147.46865	+00.61904	 73.3	  80.4	 0.426	12.992	 0.001	13.323	 0.005	 3.561	 3.370	-19.497	-19.166	 9.854	 31.460	 2.457	 5.5	 0.8	 1879.0	 5.2	S4G	Simbad	NED	LEDA
      42	 	NGC3024   	147.61398	+12.76571	 57.4	 -55.3	 0.524	13.436	 0.009	13.822	 0.002	 3.530	 3.388	-18.018	-17.631	 9.303	       	      	 5.0	 0.5	 1414.4	 3.5	S4G	Simbad	NED	LEDA
      43	 	NGC3026   	147.73046	+28.55106	 94.9	  79.5	 0.719	13.209	 0.001	13.650	 0.002	 2.654	 2.696	-18.815	-18.374	 9.663	 25.400	 1.281	 9.7	 0.8	 1488.5	 4.1	S4G	Simbad	NED	LEDA
      44	 	NGC3027   	148.91815	+72.20381	139.3	 -48.4	 0.627	12.582	 0.005	13.057	 0.003	 3.086	 3.066	-18.897	-18.422	 9.720	 19.756	 2.473	 6.4	 0.8	 1058.0	 3.5	S4G	Simbad	NED	LEDA
      45	 	NGC3031   	148.88833	+69.06535	808.6	 -24.8	 0.421	 6.345	 0.001	 6.850	 0.001	 4.834	 4.270	-21.491	-20.986	10.780	  3.692	 0.513	 2.4	 0.6	  -38.5	 3.0	S4G	Simbad	NED	LEDA
      46	 	NGC3032   	148.03400	+29.23624	 74.7	 -80.9	 0.216	12.226	 0.001	12.704	 0.001	 7.116	 5.539	-19.570	-19.092	 9.992	 22.860	 1.723	-1.9	 0.4	 1546.5	 6.1	S4G	Simbad	NED	LEDA
      47	 	NGC3034   	148.96800	+69.67975	431.0	  49.7	 0.391	 6.763	 0.001	 7.020	 0.001	 5.322	 4.520	-21.122	-20.866	10.449	  3.777	 0.665	 7.5	 4.0	  221.0	 4.0	S4G	Simbad	NED	LEDA
      48	 	NGC3041   	148.27976	+16.67765	122.1	 -86.0	 0.366	11.368	 0.001	11.818	 0.002	 2.639	 2.723	-20.736	-20.286	10.437	 26.350	 1.954	 5.4	 1.0	 1412.1	 3.4	S4G	Simbad	NED	LEDA
      49	 	NGC3043   	149.06190	+59.30716	 51.6	  80.7	 0.571	12.939	 0.001	13.325	 0.001	 2.509	 2.511	-20.383	-19.997	10.249	 46.175	 0.550	 3.0	 0.5	 2995.0	 4.2	S4G	Simbad	NED	LEDA
      50	 	NGC3044   	148.41998	+01.57971	156.5	 -68.1	 0.805	11.360	 0.001	11.709	 0.001	 3.406	 3.360	-20.478	-20.129	10.259	 23.308	 2.248	 5.6	 0.8	 1288.1	 4.3	S4G	Simbad	NED	LEDA
      51	 	NGC3049   	148.70665	+09.27120	 77.2	  28.8	 0.329	12.430	 0.001	12.860	 0.001	 4.908	 4.381	-20.011	-19.581	10.132	 30.775	 1.115	 2.5	 0.7	 1495.6	 3.2	S4G	Simbad	NED	LEDA
      52	 	NGC3055   	148.82524	+04.27000	 71.5	  60.0	 0.393	11.909	 0.001	12.318	 0.001	 3.405	 3.414	-20.590	-20.182	10.348	 31.614	 3.185	 5.3	 0.5	 1821.5	 4.3	S4G	Simbad	NED	LEDA
      53	 	NGC3057   	151.41458	+80.28665	 70.5	  11.0	 0.350	13.538	 0.040	13.957	 0.003	 2.716	 2.738	-18.512	-18.092	 9.525	 25.700	      	 7.9	 0.8	 1524.0	 7.6	S4G	Simbad	NED	LEDA
      54	 	NGC3061   	149.05025	+75.86644	 58.8	 -14.8	 0.159	13.146	 0.001	13.594	 0.002	 2.841	 2.865	-20.560	-20.112	10.366	 55.100	22.910	 5.3	 0.6	 2452.9	 8.1	S4G	Simbad	NED	LEDA
      55	 	NGC3065   	150.48018	+72.17035	 69.3	  -6.1	 0.094	11.705	 0.001	12.202	 0.001	 8.382	 5.620	-20.955	-20.457	10.560	 34.033	 4.477	-2.0	 0.4	 1995.0	 9.9	S4G	Simbad	NED	LEDA
      56	 	NGC3066   	150.54576	+72.12532	 43.6	 -75.0	 0.098	12.525	 0.001	12.914	 0.001	 4.277	 3.928	-20.028	-19.639	10.109	 32.400	      	 4.0	 0.1	 2135.0	 7.6	S4G	Simbad	NED	LEDA
      57	 	NGC3067   	149.58780	+32.37009	 74.6	 -77.1	 0.496	11.328	 0.001	11.708	 0.001	 2.685	 2.756	-20.315	-19.935	10.217	 21.317	 2.943	 2.1	 0.4	 1473.3	 5.0	S4G	Simbad	NED	LEDA
      58	 	NGC3245A  	156.75503	+28.63942	 86.6	 -31.9	 0.831	14.206	 0.002	14.649	 0.022	 3.309	 3.369	-17.747	-17.305	 9.236	 24.586	 3.259	 3.4	 1.0	 1322.6	 3.6	S4G	Simbad	NED	LEDA
      59	 	NGC4293   	185.30347	+18.38261	240.0	  64.0	 0.541	10.063	 0.001	10.496	 0.001	 3.970	 3.842	-20.717	-20.283	10.418	 14.320	 3.535	 0.3	 0.8	  921.0	 6.3	S4G	Simbad	NED	LEDA
      60	 	NGC4294   	185.32433	+11.51059	 98.2	 -25.5	 0.540	12.226	 0.001	12.609	 0.001	 2.914	 2.874	-19.194	-18.811	 9.771	 19.233	 2.906	 5.8	 0.5	  358.1	 3.2	S4G	Simbad	NED	LEDA
      61	 	NGC4298   	185.38650	+14.60612	171.0	 -51.0	 0.435	10.847	 0.001	11.282	 0.001	 2.750	 2.792	-20.170	-19.734	10.201	 15.971	 2.541	 5.2	 0.5	 1138.2	 4.8	S4G	Simbad	NED	LEDA
      62	 	NGC4299   	185.41800	+11.50307	 63.2	 -78.8	 0.037	12.768	 0.001	13.137	 0.001	 2.220	 2.272	-18.359	-17.989	 9.427	 16.800	      	 8.5	 1.2	  237.8	 3.4	S4G	Simbad	NED	LEDA
      63	 	NGC4302   	185.42626	+14.59782	247.4	  -2.4	 0.712	10.274	 0.001	10.678	 0.001	 3.559	 3.420	-21.408	-21.003	10.672	 21.689	10.711	 5.4	 0.7	 1147.5	 4.5	S4G	Simbad	NED	LEDA
      64	 	NGC4303   	185.47890	+04.47375	226.8	 -36.7	 0.173	 9.265	 0.001	 9.699	 0.001	 2.838	 3.091	-21.817	-21.383	10.857	 16.460	10.838	 4.0	 0.1	 1566.4	 3.0	S4G	Simbad	NED	LEDA
      65	 	NGC4303A  	185.61350	+04.56620	 54.9	  15.9	 0.253	13.680	 0.004	14.106	 0.002	 3.466	 3.363	-17.682	-17.257	 9.198	       	      	 6.4	 1.1	 1280.7	 5.0	S4G	Simbad	NED	LEDA
      66	 	NGC4307   	185.52342	+09.04367	123.9	  24.1	 0.618	11.232	 0.001	11.699	 0.001	 3.123	 3.123	-20.541	-20.074	10.372	 22.625	 4.054	 3.2	 0.5	 1035.0	 6.3	S4G	Simbad	NED	LEDA
      67	 	NGC4309   	185.55152	+07.14430	 82.5	 -86.1	 0.436	12.505	 0.002	12.967	 0.002	 3.905	 3.770	-18.464	-18.003	 9.537	       	      	-0.9	 0.5	 1071.0	 7.9	S4G	Simbad	NED	LEDA
      68	 	NGC4310   	185.60956	+29.20872	 75.6	 -21.3	 0.447	12.245	 0.001	12.690	 0.001	 3.332	 3.269	-17.689	-17.243	 9.216	  9.700	      	-0.9	 1.0	  913.0	 7.9	S4G	Simbad	NED	LEDA
      69	 	NGC4312   	185.63023	+15.53799	139.7	  -9.3	 0.603	11.366	 0.001	11.811	 0.001	 4.246	 3.911	-18.827	-18.382	 9.670	 10.933	 1.026	 2.0	 0.8	  149.2	 5.0	S4G	Simbad	NED	LEDA
      70	 	NGC4313   	185.66055	+11.80087	153.3	 -41.2	 0.646	11.097	 0.001	11.569	 0.001	 3.800	 3.704	-19.943	-19.471	10.137	 16.140	 3.907	 2.1	 0.3	 1442.4	 6.5	S4G	Simbad	NED	LEDA
      71	 	NGC4314   	185.63341	+29.89545	157.9	  42.7	 0.078	10.067	 0.001	10.584	 0.002	 5.603	 4.592	-19.867	-19.349	10.140	  9.700	      	 1.0	 0.3	  982.7	 7.0	S4G	Simbad	NED	LEDA
      72	 	NGC4316   	185.67602	+09.33287	 87.8	 -66.5	 0.640	11.762	 0.001	12.189	 0.001	 2.792	 2.844	-20.521	-20.094	10.334	 28.613	 4.831	 5.6	 0.9	 1252.2	 4.0	S4G	Simbad	NED	LEDA
      73	 	NGC4319   	185.43309	+75.32251	105.0	 -31.0	 0.261	11.425	 0.001	11.914	 0.001	 5.409	 4.736	-20.827	-20.338	10.503	 28.200	      	 2.5	 0.7	 1484.0	12.1	S4G	Simbad	NED	LEDA
