Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 3628256,HECATE v1.1 via VizieR,29.367662 14.430716,EST 9.8 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.33200000 / 360.93 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.520 × 0.110 arcmin,"7,876.0 km/s",DERIVED 54.6 × 11.5 thousand ly,17.045 — catalog band requires verification,63.035 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1764,HECATE v1.1 via VizieR,7.171667 44.051333,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 528.24 million ly,Not available,0.281 × 0.195 arcmin,"11,575.0 km/s",DERIVED 43.2 × 30.0 thousand ly,15.481 — catalog band requires verification,59.643 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2239300,HECATE v1.1 via VizieR,115.641543 44.215850,EST 10.8 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,15.75700000 / 567.76 million ly,Early spiral / S0-a; de Vaucouleurs T=0.0,0.182 × 0.068 arcmin,"12,539.0 km/s",DERIVED 30.1 × 11.2 thousand ly,17.515 — catalog band requires verification,61.213 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2255691,HECATE v1.1 via VizieR,164.221335 44.949053,EST 11.3 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.03300000 / 521.71 million ly,Lenticular / S0; de Vaucouleurs T=-3.0,0.296 × 0.186 arcmin,"12,792.2 km/s",DERIVED 44.9 × 28.2 thousand ly,15.873 — catalog band requires verification,63.311 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5058880,HECATE v1.1 via VizieR,38.791249 30.307778,EST 9.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 463.48 million ly,Not available,Not available,"10,104.0 km/s",Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5074545,HECATE v1.1 via VizieR,33.322500 36.178444,EST 8.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 2.59 million ly,Not available,Not available,-382.1 km/s,Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2097318,HECATE v1.1 via VizieR,137.598003 37.294700,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,16.97500000 / 418.78 million ly,Irregular; de Vaucouleurs T=10.0,0.126 × 0.083 arcmin,"9,070.5 km/s",DERIVED 15.3 × 10.1 thousand ly,17.472 — catalog band requires verification,61.032 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1783795,HECATE v1.1 via VizieR,119.290027 26.648542,EST 9.2 billion years — object-specific spiral stellar-population model; not a direct measurement,15.61800000 / 313.36 million ly,Scd–Sd spiral; de Vaucouleurs T=5.2,0.178 × 0.178 arcmin,"6,605.0 km/s",DERIVED 16.2 × 16.2 thousand ly,16.530 — catalog band requires verification,62.182 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1819010,HECATE v1.1 via VizieR,139.702045 27.826201,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,15.68100000 / 359.44 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.5,0.162 × 0.093 arcmin,"7,824.9 km/s",DERIVED 16.9 × 9.7 thousand ly,16.849 — catalog band requires verification,61.799 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4089458,HECATE v1.1 via VizieR,143.103151 27.003541,EST 7.7 billion years — object-specific late-type stellar-population model; not a direct measurement,16.74300000 / 465.94 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.6,0.139 × 0.072 arcmin,"10,143.7 km/s",DERIVED 18.8 × 9.8 thousand ly,17.516 — catalog band requires verification,61.040 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3997998,HECATE v1.1 via VizieR,142.548670 35.470707,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.48300000 / 324.22 million ly,Not available,0.175 × 0.071 arcmin,"6,742.0 km/s",DERIVED 16.5 × 6.7 thousand ly,18.249 — catalog band requires verification,58.700 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 139081,HECATE v1.1 via VizieR,126.287613 36.255072,EST 9.7 billion years — object-specific spiral stellar-population model; not a direct measurement,14.86100000 / 525.31 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.7,0.321 × 0.151 arcmin,"11,581.2 km/s",DERIVED 49.1 × 23.1 thousand ly,16.813 — catalog band requires verification,62.471 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1571596,HECATE v1.1 via VizieR,57.611292 18.827306,EST 10.4 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,Not available / 388.76 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.294 × 0.155 arcmin,"8,493.0 km/s",DERIVED 33.2 × 17.5 thousand ly,16.560 — catalog band requires verification,60.616 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1462313,HECATE v1.1 via VizieR,134.560851 14.605365,EST 8.5 billion years — object-specific spiral stellar-population model; not a direct measurement,15.26100000 / 540.36 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.7,0.194 × 0.122 arcmin,"12,062.5 km/s",DERIVED 30.5 × 19.2 thousand ly,16.806 — catalog band requires verification,61.970 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1517558,HECATE v1.1 via VizieR,48.397917 16.811139,EST 11.3 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,Not available / 454.35 million ly,Elliptical; de Vaucouleurs T=-5.0,0.416 × 0.323 arcmin,"9,973.0 km/s",DERIVED 55.0 × 42.7 thousand ly,15.480 — catalog band requires verification,62.184 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 90687,HECATE v1.1 via VizieR,54.868026 13.394880,EST 9.7 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 520.68 million ly,Scd–Sd spiral; de Vaucouleurs T=5.9,0.476 × 0.094 arcmin,"9,885.2 km/s",DERIVED 72.1 × 14.2 thousand ly,16.490 — catalog band requires verification,61.414 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 28574,HECATE v1.1 via VizieR,148.635188 35.782772,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,15.51900000 / 546.32 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.7,0.167 × 0.148 arcmin,"12,074.3 km/s",DERIVED 26.5 × 23.5 thousand ly,16.731 — catalog band requires verification,61.937 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4544626,HECATE v1.1 via VizieR,140.269850 38.454977,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.07600000 / 9.61 million ly,Not available,0.097 × 0.081 arcmin,-22.0 km/s,DERIVED 0.3 × 0.2 thousand ly,19.125 — catalog band requires verification,58.388 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3455900,HECATE v1.1 via VizieR,138.923995 39.744590,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,16.89800000 / 387.75 million ly,Irregular; de Vaucouleurs T=10.0,0.137 × 0.080 arcmin,"8,312.7 km/s",DERIVED 15.5 × 9.0 thousand ly,18.084 — catalog band requires verification,60.548 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3998095,HECATE v1.1 via VizieR,143.473122 9.204732,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,17.00600000 / 108.93 million ly,Irregular; de Vaucouleurs T=10.0,0.270 × 0.145 arcmin,"2,335.7 km/s",DERIVED 8.6 × 4.6 thousand ly,17.353 — catalog band requires verification,61.727 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3400003,HECATE v1.1 via VizieR,160.368752 50.397988,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,16.73800000 / 609.59 million ly,Irregular; de Vaucouleurs T=10.0,0.117 × 0.098 arcmin,"13,690.3 km/s",DERIVED 20.7 × 17.4 thousand ly,17.568 — catalog band requires verification,60.900 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 36934,HECATE v1.1 via VizieR,177.354930 42.553721,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,15.60300000 / 289.42 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.3,0.474 × 0.115 arcmin,"6,010.8 km/s",DERIVED 39.9 × 9.7 thousand ly,16.532 — catalog band requires verification,63.364 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4009625,HECATE v1.1 via VizieR,124.670393 26.535467,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,16.57800000 / 282.06 million ly,Irregular; de Vaucouleurs T=10.0,0.221 × 0.221 arcmin,"6,067.9 km/s",DERIVED 18.1 × 18.1 thousand ly,17.653 — catalog band requires verification,61.231 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3084750,HECATE v1.1 via VizieR,14.865467 33.137233,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,13.75200000 / 215.89 million ly,Not available,0.244 × 0.205 arcmin,"4,645.4 km/s",DERIVED 15.3 × 12.9 thousand ly,15.570 — catalog band requires verification,61.406 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2260609,HECATE v1.1 via VizieR,140.062572 45.191226,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,15.67000000 / 441.01 million ly,Scd–Sd spiral; de Vaucouleurs T=5.4,0.245 × 0.102 arcmin,"9,502.8 km/s",DERIVED 31.4 × 13.1 thousand ly,16.489 — catalog band requires verification,62.491 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1819810,HECATE v1.1 via VizieR,159.856099 27.855606,EST 9.5 billion years — object-specific spiral stellar-population model; not a direct measurement,15.31900000 / 582.12 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.9,0.257 × 0.169 arcmin,"12,822.0 km/s",DERIVED 43.5 × 28.6 thousand ly,16.707 — catalog band requires verification,62.321 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1885836,HECATE v1.1 via VizieR,63.155500 29.989750,EST 11.6 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,Not available / 220.32 million ly,Elliptical; de Vaucouleurs T=-5.0,0.354 × 0.354 arcmin,"4,834.0 km/s",DERIVED 22.7 × 22.7 thousand ly,15.990 — catalog band requires verification,61.426 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 24430,HECATE v1.1 via VizieR,130.421694 40.657469,EST 9.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,12.93900000 / 426.42 million ly,Sa–Sb spiral; de Vaucouleurs T=2.8,0.449 × 0.338 arcmin,"9,233.7 km/s",DERIVED 55.7 × 41.9 thousand ly,14.957 — catalog band requires verification,64.839 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2341399,HECATE v1.1 via VizieR,160.646219 49.382500,EST 9.5 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.76500000 / 604.24 million ly,Early spiral / S0-a; de Vaucouleurs T=0.4,0.217 × 0.094 arcmin,"13,345.7 km/s",DERIVED 38.1 × 16.5 thousand ly,16.384 — catalog band requires verification,62.484 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 10139,HECATE v1.1 via VizieR,40.157064 39.057524,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,Not available / 43.87 million ly,Irregular; de Vaucouleurs T=10.0,0.650 × 0.325 arcmin,743.0 km/s,DERIVED 8.3 × 4.1 thousand ly,14.482 — catalog band requires verification,64.118 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 10659,HECATE v1.1 via VizieR,42.245166 3.168639,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,12.24900000 / 174.38 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.1,0.746 × 0.252 arcmin,"4,171.9 km/s",DERIVED 37.8 × 12.8 thousand ly,13.917 — catalog band requires verification,67.067 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27651,HECATE v1.1 via VizieR,145.278504 11.505457,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 310.05 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.8,0.430 × 0.060 arcmin,"6,647.9 km/s",DERIVED 38.8 × 5.4 thousand ly,15.534 — catalog band requires verification,62.186 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1725837,HECATE v1.1 via VizieR,123.925445 25.112887,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,17.10700000 / 213.15 million ly,Irregular; de Vaucouleurs T=10.0,0.115 × 0.094 arcmin,"4,661.9 km/s",DERIVED 7.1 × 5.8 thousand ly,17.981 — catalog band requires verification,60.479 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 137669,HECATE v1.1 via VizieR,22.960167 71.058167,EST 11.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,Not available / 219.91 million ly,Elliptical; de Vaucouleurs T=-5.0,0.314 × 0.314 arcmin,"4,602.0 km/s",DERIVED 20.1 × 20.1 thousand ly,15.490 — catalog band requires verification,61.766 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 10094,HECATE v1.1 via VizieR,40.023792 14.375917,EST 10.1 billion years — object-specific early-spiral stellar-population model; not a direct measurement,Not available / 609.40 million ly,Sa–Sb spiral; de Vaucouleurs T=2.9,0.366 × 0.242 arcmin,"13,912.3 km/s",DERIVED 64.9 × 42.9 thousand ly,16.000 — catalog band requires verification,61.464 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 10174,HECATE v1.1 via VizieR,40.275750 8.737972,EST 11.6 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,Not available / 286.34 million ly,Lenticular / S0; de Vaucouleurs T=-3.0,0.379 × 0.379 arcmin,"6,236.0 km/s",DERIVED 31.6 × 31.6 thousand ly,14.416 — catalog band requires verification,63.100 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 28692,HECATE v1.1 via VizieR,149.096289 20.477353,EST 11.8 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,13.01100000 / 344.59 million ly,Elliptical; de Vaucouleurs T=-5.0,0.389 × 0.389 arcmin,"7,402.0 km/s",DERIVED 39.0 × 39.0 thousand ly,14.960 — catalog band requires verification,64.596 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2154912,HECATE v1.1 via VizieR,159.159630 39.743024,EST 11.4 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.49500000 / 356.95 million ly,Elliptical; de Vaucouleurs T=-5.0,0.125 × 0.125 arcmin,"7,674.3 km/s",DERIVED 13.0 × 13.0 thousand ly,17.616 — catalog band requires verification,60.884 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 37623,HECATE v1.1 via VizieR,179.391357 61.194824,EST 10.5 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.15200000 / 459.69 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.323 × 0.267 arcmin,"9,798.8 km/s",DERIVED 43.2 × 35.7 thousand ly,15.673 — catalog band requires verification,63.619 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2248051,HECATE v1.1 via VizieR,176.100098 44.608390,EST 7.2 billion years — object-specific late-type stellar-population model; not a direct measurement,16.59800000 / 588.94 million ly,Irregular; de Vaucouleurs T=10.0,0.128 × 0.108 arcmin,"12,868.3 km/s",DERIVED 21.9 × 18.5 thousand ly,17.345 — catalog band requires verification,61.167 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 35908,HECATE v1.1 via VizieR,174.127300 49.131339,EST 11.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,12.89000000 / 521.05 million ly,Elliptical; de Vaucouleurs T=-5.0,0.451 × 0.451 arcmin,"11,121.0 km/s",DERIVED 68.4 × 68.4 thousand ly,14.865 — catalog band requires verification,64.939 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4572692,HECATE v1.1 via VizieR,150.168658 23.953056,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.15000000 / 569.03 million ly,Irregular; de Vaucouleurs T=10.0,0.209 × 0.085 arcmin,"12,603.9 km/s",DERIVED 34.6 × 14.1 thousand ly,18.238 — catalog band requires verification,60.836 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4093100,HECATE v1.1 via VizieR,156.911383 34.531075,EST 7.7 billion years — object-specific late-type stellar-population model; not a direct measurement,17.18500000 / 320.57 million ly,Irregular; de Vaucouleurs T=10.0,0.309 × 0.083 arcmin,"6,640.8 km/s",DERIVED 28.8 × 7.7 thousand ly,18.133 — catalog band requires verification,61.236 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 23693,HECATE v1.1 via VizieR,126.712604 43.601586,EST 9.2 billion years — object-specific spiral stellar-population model; not a direct measurement,15.42800000 / 194.51 million ly,Scd–Sd spiral; de Vaucouleurs T=5.7,0.281 × 0.206 arcmin,"4,117.9 km/s",DERIVED 15.9 × 11.7 thousand ly,16.920 — catalog band requires verification,62.204 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1228056,HECATE v1.1 via VizieR,137.456529 2.471904,EST 11.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.55500000 / 174.34 million ly,Elliptical; de Vaucouleurs T=-5.0,0.169 × 0.095 arcmin,"3,820.0 km/s",DERIVED 8.6 × 4.8 thousand ly,17.521 — catalog band requires verification,61.155 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5085527,HECATE v1.1 via VizieR,149.637859 17.318710,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,16.53400000 / 599.26 million ly,Scd–Sd spiral; de Vaucouleurs T=6.0,0.157 × 0.062 arcmin,"13,317.2 km/s",DERIVED 27.4 × 10.8 thousand ly,17.710 — catalog band requires verification,60.918 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2295480,HECATE v1.1 via VizieR,152.994603 47.279932,EST 10.3 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,16.14500000 / 345.61 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.154 × 0.106 arcmin,"7,312.9 km/s",DERIVED 15.5 × 10.7 thousand ly,17.494 — catalog band requires verification,61.122 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 97042,HECATE v1.1 via VizieR,66.280709 47.116000,EST 9.4 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 273.95 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.8,0.139 × 0.076 arcmin,"5,860.0 km/s",DERIVED 11.1 × 6.1 thousand ly,18.360 — catalog band requires verification,58.556 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 9661,HECATE v1.1 via VizieR,38.088082 28.056714,EST 9.5 billion years — object-specific general galaxy stellar-population model; not a direct measurement,15.69800000 / 490.62 million ly,Not available,0.184 × 0.135 arcmin,"10,797.0 km/s",DERIVED 26.3 × 19.3 thousand ly,17.850 — catalog band requires verification,58.886 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 90486,HECATE v1.1 via VizieR,9.840000 45.121111,EST 8.6 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 514.89 million ly,Scd–Sd spiral; de Vaucouleurs T=5.9,0.320 × 0.056 arcmin,"13,575.0 km/s",DERIVED 47.9 × 8.4 thousand ly,16.900 — catalog band requires verification,60.380 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 20626,HECATE v1.1 via VizieR,109.608042 31.561083,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,13.22000000 / 160.76 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.0,0.617 × 0.219 arcmin,"3,469.0 km/s",DERIVED 28.9 × 10.2 thousand ly,14.932 — catalog band requires verification,65.536 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1668814,HECATE v1.1 via VizieR,140.822294 22.379684,EST 10.4 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,16.31700000 / 442.51 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.127 × 0.098 arcmin,"9,640.2 km/s",DERIVED 16.3 × 12.6 thousand ly,17.885 — catalog band requires verification,60.623 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
