Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
PGC12869,RC3,51.772083 46.966667,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01962000 / 274.06 million ly,AG? [SIMBAD classification],1.000 arcmin [catalog value],"5,824.2 km/s",EST [79.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
IC   2458,RC3,140.372917 64.236389,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00483001 / 67.47 million ly,H2G [SIMBAD classification],0.670 arcmin [catalog value],"1,448.0 km/s",EST [13.1 thousand ly; derived from adopted distance and angular size],15.400 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1511600,HyperLEDA PGC,42.630000 16.556667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.560 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1493497,HyperLEDA PGC,38.764583 15.794722,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.470 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1463102,HyperLEDA PGC,34.224167 14.635833,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01286830 / 179.75 million ly,AG? [SIMBAD classification],0.630 arcmin [catalog value],"3,833.0 km/s",EST [32.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
UGC2375               MCG1-08-014           CGCG415-22            NPM1G+06.0116,HyperLEDA PGC,43.514583 6.257778,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,1.030 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
PGC33850,RC3,167.450000 62.283333,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01588000 / 221.82 million ly,AG? [SIMBAD classification],1.130 arcmin [catalog value],"4,722.9 km/s",EST [72.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC19500,RC3,100.925000 57.616667,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01682303 / 234.99 million ly,AG? [SIMBAD classification],1.080 arcmin [catalog value],"5,001.0 km/s",EST [73.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC18825,RC3,94.975000 51.366667,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",Not available / Not available,LSB [SIMBAD classification],1.000 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,RC3; SIMBAD; values marked EST require verification,50% [completeness + multi-source agreement; not a scientific certainty score]
PGC 10699,HECATE v1.1,42.357417 15.800944,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.03067989 / 418.10 million ly,GiG [SIMBAD classification],0.733 × 0.352 arcmin [catalog value; band/isophote may vary],"9,197.6 km/s",EST [89.2 × 42.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
NGC  3394,RC3,162.662500 65.727500,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01135119 / 158.56 million ly,GiP [SIMBAD classification],1.280 arcmin [catalog value],"3,403.0 km/s",EST [59.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1371634,HyperLEDA PGC,54.825833 9.898056,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03822604 / 533.96 million ly,G [SIMBAD classification],0.840 arcmin [catalog value],"11,241.0 km/s",EST [130.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3089281,HECATE v1.1,36.760231 27.284055,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03382974 / 464.49 million ly,G [SIMBAD classification],0.303 × 0.261 arcmin [catalog value; band/isophote may vary],"10,141.9 km/s",EST [40.9 × 35.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,74% [completeness + multi-source agreement; not a scientific certainty score]
PGC 2179011,HECATE v1.1,56.867583 41.307167,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01617786 / 223.52 million ly,GiG [SIMBAD classification],0.887 × 0.532 arcmin [catalog value; band/isophote may vary],"4,850.0 km/s",EST [57.7 × 34.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1432686,HyperLEDA PGC,53.578750 13.504444,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,LSB [SIMBAD classification],0.600 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC55478,RC3,233.625000 15.116667,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00567334 / 79.25 million ly,LSB [SIMBAD classification],0.960 arcmin [catalog value],"1,696.0 km/s",EST [22.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5061122,HECATE v1.1,69.223999 27.554139,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.03630512 / 492.85 million ly,G [SIMBAD classification],0.547 × 0.470 arcmin [catalog value; band/isophote may vary],"10,884.0 km/s",EST [78.4 × 67.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1486991,HyperLEDA PGC,37.279583 15.528056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.400 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
DRCG9-79,HyperLEDA PGC,44.643333 6.344167,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,0.820 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1431442,HyperLEDA PGC,44.061667 13.453889,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.440 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1577693,HECATE v1.1,39.819417 19.014389,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03371666 / 461.19 million ly,G [SIMBAD classification],0.480 × 0.440 arcmin [catalog value; band/isophote may vary],"10,108.0 km/s",EST [64.4 × 59.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1489580,HyperLEDA PGC,36.004167 15.633333,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.660 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1519428,HyperLEDA PGC,31.531250 16.886111,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.630 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1295254,HyperLEDA PGC,47.171667 6.140833,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03853200 / 538.23 million ly,G [SIMBAD classification],0.750 arcmin [catalog value],"11,329.2 km/s",EST [117.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 13017,HECATE v1.1,52.610250 24.656972,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03875681 / 523.42 million ly,G [SIMBAD classification],0.297 × 0.261 arcmin [catalog value; band/isophote may vary],"11,619.0 km/s",EST [45.2 × 39.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 138460,HECATE v1.1,26.442750 24.919861,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04269954 / 577.61 million ly,G [SIMBAD classification],0.257 × 0.154 arcmin [catalog value; band/isophote may vary],"12,801.0 km/s",EST [43.2 × 25.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
UGC2850               MCG3-10-006,HyperLEDA PGC,56.271250 20.761667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,1.000 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
PGC10553,RC3,41.825000 46.333333,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",Not available / Not available,G [SIMBAD classification],1.070 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,RC3; SIMBAD; values marked EST require verification,50% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1329954,HyperLEDA PGC,39.101250 7.754167,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.790 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1450097,HECATE v1.1,30.588224 14.133465,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.04428764 / 595.96 million ly,Elliptical; de Vaucouleurs T=-5.0 [catalog classification],Not available,"13,277.1 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,68% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1408297,HyperLEDA PGC,50.650833 12.369444,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.540 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 10069,HECATE v1.1,39.874989 29.259736,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01595937 / 219.15 million ly,AG? [SIMBAD classification],1.050 × 0.950 arcmin [catalog value; band/isophote may vary],"4,784.5 km/s",EST [66.9 × 60.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1378682,HyperLEDA PGC,34.070000 10.381944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.450 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1553384,HyperLEDA PGC,55.017500 18.216944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.410 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5061206,HECATE v1.1,84.020353 52.512056,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.02557769 / 355.61 million ly,GiG [SIMBAD classification],0.570 × 0.331 arcmin [catalog value; band/isophote may vary],"7,668.0 km/s",EST [59.0 × 34.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9194,HECATE v1.1,36.341460 23.827287,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.02206893 / 313.55 million ly,AG? [SIMBAD classification],0.560 × 0.470 arcmin [catalog value; band/isophote may vary],"6,616.1 km/s",EST [51.1 × 42.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1595958,HyperLEDA PGC,30.692083 19.534167,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.06296000 / 879.45 million ly,G [SIMBAD classification],0.580 arcmin [catalog value],"18,281.9 km/s",EST [148.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC31027,RC3,157.750000 78.850000,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00934980 / 130.60 million ly,AG? [SIMBAD classification],1.040 arcmin [catalog value],"2,789.9 km/s",EST [39.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
NPM1G+17.0132,HyperLEDA PGC,48.849167 18.117222,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],Not available,Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,32% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1505347,HyperLEDA PGC,31.828750 16.292500,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.460 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1644047,HyperLEDA PGC,48.997500 21.158611,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04742948 / 662.52 million ly,G [SIMBAD classification],0.610 arcmin [catalog value],"13,882.2 km/s",EST [117.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC33755,RC3,167.125000 45.131944,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02058424 / 287.53 million ly,G [SIMBAD classification],0.810 arcmin [catalog value],"6,171.0 km/s",EST [67.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC24877,RC3,132.825000 19.333333,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01383600 / 193.27 million ly,GiG [SIMBAD classification],1.120 arcmin [catalog value],"4,119.2 km/s",EST [63.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC36118,RC3,174.795833 39.333889,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02376000 / 331.89 million ly,G [SIMBAD classification],1.060 arcmin [catalog value],"7,038.5 km/s",EST [102.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1413192,HyperLEDA PGC,39.349167 12.633056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.540 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1408612,HyperLEDA PGC,43.248750 12.386111,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.360 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1477620,HyperLEDA PGC,45.603333 15.186389,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.870 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1675310,HyperLEDA PGC,38.099167 22.740000,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.490 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1500459,HyperLEDA PGC,32.583750 16.090556,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.470 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1904961,HECATE v1.1,61.624167 30.466444,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01561414 / 213.90 million ly,AG? [SIMBAD classification],0.363 × 0.291 arcmin [catalog value; band/isophote may vary],"4,681.0 km/s",EST [22.6 × 18.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3090462,HECATE v1.1,35.418417 16.744417,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02694864 / 367.83 million ly,G [SIMBAD classification],0.711 × 0.458 arcmin [catalog value; band/isophote may vary],"8,079.0 km/s",EST [76.1 × 49.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC31036,RC3,157.800000 72.100000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02231210 / 311.67 million ly,GiG [SIMBAD classification],1.130 arcmin [catalog value],"6,689.0 km/s",EST [102.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1667360,HyperLEDA PGC,48.503333 22.300833,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.610 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1443467,HyperLEDA PGC,42.105000 13.893333,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.580 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 8021,HECATE v1.1,31.536417 15.209528,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.04251274 / 571.71 million ly,G [SIMBAD classification],0.945 × 0.780 arcmin [catalog value; band/isophote may vary],"12,745.0 km/s",EST [157.2 × 129.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6741368,HECATE v1.1,39.233331 19.302779,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02764579 / 379.56 million ly,Not available,Not available,"8,288.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 94457,HyperLEDA PGC,44.294167 13.908889,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.07229000 / 1009.78 million ly,rG [SIMBAD classification],0.470 arcmin [catalog value],"20,890.6 km/s",EST [138.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
